epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,24289.6,0.62628,2.00812,1.11276,1.17991,0,0.65353,0.66178,0.67027,0.51798,0.64772,0.64563,0.65191,0.47125,0.78714,2.26653,1.19158,1.00299,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,25073.2,0.62723,2.01043,1.11106,1.1798,0,0.65334,0.66441,0.67066,0.51854,0.64735,0.64831,0.6529,0.4717,0.78606,2.26476,1.18975,1.00237,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,25857,0.62467,2.00176,1.10624,1.17738,0,0.65447,0.66403,0.67072,0.51902,0.64999,0.64588,0.65336,0.47192,0.78549,2.26393,1.18847,1.00198,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,26640.9,0.62326,1.99156,1.10228,1.17662,0,0.65703,0.66356,0.67164,0.51988,0.65295,0.64543,0.65414,0.47271,0.78483,2.26224,1.18665,1.00114,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,27425.5,0.62508,1.99411,1.10268,1.17828,0,0.65571,0.66188,0.67196,0.52022,0.65207,0.64479,0.65393,0.47298,0.78428,2.26007,1.18505,1.00087,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,28209.3,0.62261,1.99325,1.09951,1.17681,0,0.6538,0.6641,0.67256,0.52079,0.64732,0.64855,0.65494,0.47405,0.78296,2.25871,1.18258,0.99981,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,796.014,0.61363,1.95655,1.07873,1.17136,0,0.65485,0.66581,0.67402,0.52228,0.65232,0.64669,0.65595,0.47525,0.78018,2.25682,1.17878,0.99724,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,1582.2,0.61546,1.97443,1.08542,1.17132,0,0.6569,0.66517,0.67508,0.52338,0.65038,0.64906,0.65656,0.47607,0.77894,2.2558,1.17597,0.99578,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2368.66,0.61567,1.97006,1.08521,1.17163,0,0.65833,0.66234,0.67453,0.5237,0.65564,0.64578,0.65687,0.47647,0.77717,2.25431,1.17399,0.99393,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3154.65,0.61513,1.96089,1.08176,1.17114,0,0.65882,0.66259,0.6753,0.5235,0.6557,0.6474,0.65723,0.47643,0.77618,2.25224,1.17204,0.99244,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3940.99,0.61228,1.96143,1.07785,1.16927,0,0.6619,0.66312,0.67572,0.52427,0.65615,0.64697,0.65787,0.477,0.77466,2.25145,1.17116,0.99087,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4726.91,0.61247,1.95602,1.07332,1.16891,0,0.66385,0.66525,0.67689,0.5253,0.65675,0.64961,0.65857,0.47776,0.77298,2.24973,1.16959,0.98979,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5512.57,0.60989,1.95048,1.07573,1.16742,0,0.66892,0.66031,0.67733,0.52596,0.66301,0.64419,0.65932,0.47876,0.77186,2.24882,1.16738,0.98868,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6299.03,0.60876,1.94006,1.06831,1.1668,0,0.66395,0.66547,0.6775,0.52663,0.65568,0.65275,0.65998,0.47971,0.77079,2.24712,1.1658,0.98766,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7086.48,0.60902,1.93496,1.06336,1.1658,0,0.66537,0.66539,0.67833,0.52758,0.66191,0.64888,0.66116,0.48072,0.76973,2.24682,1.1642,0.98665,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7872.84,0.60718,1.92814,1.05988,1.16492,0,0.66536,0.66448,0.67873,0.5277,0.65703,0.65254,0.6615,0.48113,0.76909,2.24319,1.16229,0.98609,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8659.65,0.60613,1.92785,1.05935,1.16425,0,0.66779,0.66418,0.67966,0.52915,0.6608,0.64984,0.66246,0.48231,0.76812,2.24234,1.16103,0.98563,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9446.08,0.60279,1.92113,1.05585,1.16237,0,0.6657,0.6659,0.67975,0.52947,0.66107,0.64767,0.66246,0.48236,0.76689,2.24147,1.15979,0.98507,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10232.7,0.60374,1.91042,1.0508,1.16158,0,0.66899,0.66133,0.68001,0.52966,0.66355,0.64801,0.66247,0.4828,0.7655,2.23855,1.15923,0.98415,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,11020.1,0.59937,1.90537,1.04382,1.15982,0,0.66961,0.66338,0.68026,0.53033,0.66843,0.64539,0.66282,0.48325,0.76426,2.23689,1.15802,0.98328,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11806.8,0.59875,1.89814,1.04181,1.1583,0,0.67229,0.6625,0.68041,0.53086,0.66483,0.6479,0.66306,0.48397,0.76281,2.23663,1.15728,0.98229,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
